UniqueID,Keyword
0HJI6EAB3X_QPHHREKFFH38SVP,pastors|clergy|lutherans|protestant|churches|abused|church|christians|perpetrators|catholic|abuse|violence|victims|crimes|hannover
0RBZKZ6VRU_JWWLGXVFW2U1DKP,prosecution|indictment|prosecutor|prosecuting|indicted|prosecuted|jury|honolulu|trial|allegedly|guilty|judge|investigation|seabright|hawaii
0U2IEVWF21_AC6M689N69131QB,dolphin|dolphins|marine|fisheries|mississippi|lawsuit|gulf|fish|coastal|saltwater|gulfport|permit|sued|spillway|animal
0XT9CKR65O_YFDI6RNYHHYYMT9,biden|nominee|hampshire|ballot|nomination|democrats|presidential|democratic|delegates|voters|republican|campaign|2020|republicans|primary
11O3VH3E2P_85VD8C0I4J3UVPE,surveillance|privacy|warehouse|amazon|monitoring|regulation|employees|protection|watchdog|barcode|investigation|monitor|inventory|france|safety
16I3N60Z2F_9NGWZ9ASJ0FY0F8,redistricting|michigan|districts|lansing|detroit|district|elections|voters|maps|map|appeals|election|senate|state|judge
1L2U18H64M_JQ6678DDH9F8C5U,abortion|opioid|ericksen|sober|trenton|parenthood|sobriety|jersey|attorney|governor|dawn|addiction|conservative|phil|experiences
1U295ZDTC8_VAKRF88OYAS3V5R,taiwan|taiwanese|taipei|election|island|chinese|democrat|china|bipartisan|republican|governed|democratic|pelosi|elect|ching
1VVDNHQ79P_EV4H7W18X1HQ5D2,knesset|netanyahu|hamas|gaza|israeli|palestinians|israelis|aviv|israel|elections|slogan|benjamin|victory|nationalist|campaigns
1WOMO83R7W_PD2H7YRBYYP106E,turkey|beirut|syrians|lebanon|lebanese|cyprus|refugees|boat|turkish|migrants|victims|syria|boats|ankara|mediterranean
27LCCC87DI_WADF3TRQM67IH1L,cyprus|cypriot|ukraine|ukrainian|nicosia|sanctions|russia|banks|deposits|russians|bank|russian|bankruptcy|crisis|financial
2Z2T21NYLK_IG8EENGJEW1EI6V,koreans|korea|korean|kim|seoul|extend|yoon|adoptions|extension|adoption|adopters|2025|adoptees|adopted|investigation
34A13EHK4E_90TJNHRP4V0QRX6,biden|union|candidates|unions|democrats|presidential|reelection|republican|republicans|worker|washington|bid|election|labor|gop
35T7N9XIHI_W72LLEGW3XSB6F1,manila|philippines|philippine|fishermen|seas|fisherman|filipinos|filipino|sea|fishing|ships|fish|coast|coral|seashells
3AA1Z66GD2_UTVT56BAQG2GGLQ,suez|beijing|hamas|yemen|israel|missiles|allies|china|ships|maritime|iran|syria|diplomatic|sea|arabia
3DC1SCGETD_2633RRL8VWVJ74T,joliet|suspect|detectives|kyleigh|shooting|allegedly|shot|court|investigation|cleveland|victims|defender|sheriff|fatally|natalia
3I186PMV7W_GZJG8HASZOOEC7S,dakota|reelection|governor|candidates|candidacy|governors|elected|election|state|bismarck|republican|campaigned|nomination|voters|democrat
3MINEHSKHK_WHM9H6IERTY15XV,macon|rumplik|georgia|ga|autopsy|chimney|coroner|leon|missing|investigation|landlord|dead|house|saw|investigate
3MP7QDV83D_KYWKG6BSI07TZJK,accused|prosecutor|prosecutors|judge|court|prosecution|allegations|prosecutorial|alleging|divorce|affair|willis|wade|subpoena|attorney
3N8TY0EGOO_8AT7KEYTUS2U9PB,arkansas|burglary|detained|ark|detention|roush|shooting|jail|detainees|suspect|noah|theft|bryant|bluff|charges
3S57G6PO3H_M6Y9DHC7XOYXHFD,mining|miners|mali|collapse|collapsed|kangaba|geology|africa|gold|accidents|artisanal|accident|investigation|bamako|tragedies
3SMMOQMMCP_AMA2Q7VTPYW79XE,lansing|rnc|mi|gop|michigan|senate|republican|republicans|karamo|election|representative|congressman|candidate|committee|congressional
3TTQ34K90K_9NCZ20UVDH35WKT,weatherford|helicopter|ambulance|crashed|bell|crash|oklahoma|okla|crew|victims|killed|members|officials|safety|nearby
3TXDCW02QM_VB7ADH29F39ZLER,revolution|governments|globalization|government|agenda|newspunch|conspiracy|political|disinformation|libertarianism|baseless|misinformation|news|fabricated|initiative
41SC5TGZ4N_SH6ZA6M5KFGMREO,charles|surgery|camilla|nhs|undergoing|hospitalized|hospital|diagnosis|diagnosed|patient|medical|treatment|royal|prostate|king
42J39YDW7S_OQVD26SLWOG995N,appellate|ballot|maine|judicial|judge|ruling|presidential|constitution|court|ballots|election|appeal|amendment|state|voter
48Y5BFY0W5_8Z0TDO11RMZUXFX,cyprus|cypriot|nicosia|migrants|hospitalized|syrians|beirut|migrant|island|lebanon|syria|lebanese|children|rescued|syrian
4H5N4TU8O7_9QJLD2F456VQ50Q,buenos|argentina|aires|protests|strike|perez|protesting|rodrigo|venezuela|chile|colombia|bogota|brazilians|vargas|bolivia
4H612QUCL4_PGG5BFCEWAVOUOY,shapiro|rhetoric|pa|phrase|harrisburg|slogan|gov|pennsylvania|statewide|speeches|comedian|profanities|broadcasting|news|jerry
4HRMBFKLKI_BE8OBYJQ6MPI9Z2,kenya|nairobi|kenyan|peacekeeping|kenyans|haiti|authorities|haitian|officers|authority|haitians|police|senegal|humanitarian|african
4J9Z4Z2GIB_MKCISX4ZZYJLLK9,nato|ankara|turkish|nordic|turkey|sweden|kurdish|stockholm|alliance|swedish|finland|hungarian|erdogan|allies|ratification
4SMTATY1VF_PQ3CVIJ1RTTI855,hostage|berlin|starbucks|ulm|suspect|arrest|escape|cafe|rescued|unharmed|victim|german|armed|police|city
4WCVVK9YJX_WS8XIVRSDKUQH7D,treaty|rwanda|deportation|deportations|parliament|deporting|diplomat|refugees|ministers|legislation|minister|migrants|agreement|rights|government
56A4BY723E_EE5CD13OR5ZEO5G,maersk|ships|hamas|uss|airstrikes|cargos|israel|cargo|ship|shipments|gaza|yemen|missiles|shipper|qatarenergy
5BWAJFWC8B_YDCPFA18E9LN81O,copenhagen|denmark|østergaard|soil|fjord|danish|nordic|landslides|greenland|landslide|dirt|contaminated|baltic|pile|polluted
5C6R0YCI9Q_U4RD9A0ERHHOZE5,sentencing|assaulted|imprisonment|arrest|conviction|sentenced|prison|crimes|bru|defendants|convicted|violence|punished|detained|jail
5DQO18RPZX_0Q8JFLGWBNV4NAQ,artillery|ammunition|ukraine|nato|ukrainians|putin|kyiv|rounds|russia|moscow|shells|allies|brussels|firing|procurement
5ER5WRXUV0_1FME3Q92OX7HZJB,manslaughter|negligence|accused|sentencing|impartial|murder|murders|jury|prosecutor|judge|prosecutors|shooting|guilty|involuntary|crimes
5M2C6Z0FNJ_9VJP2T3MZFOC322,gaza|hamas|palestinians|genocide|palestinian|israeli|palestine|israel|israelis|humanitarian|terrorists|casualties|ceasefire|hostilities|terrorist
62531SQAS1_8OGF3F49N2S791F,sudan|darfur|sanctions|khartoum|sudanese|brussels|emirates|eu|saudi|arab|arabia|mohammed|nations|paramilitary|firms
63PL911CIL_TZUU6NOH7PW4607,insurance|insurers|liability|casinos|casino|sued|atlantic|claims|resort|coverage|law|casualty|courts|llc|policy
69LUXZTYQ8_FTNCHLP532W0NSB,protests|protested|paris|france|demonstrators|louvre|french|ruling|constitutional|legislation|constitution|emmanuel|deport|immigration|lawmakers
6KIYKX3EEJ_HMKEJHO6UXO2MMI,malaria|vaccines|vaccine|vaccination|cameroon|vaccinate|mosquito|africa|immunizing|mosquitoes|immunize|parasite|african|infections|parasitic
6P9H26QJSQ_2NOF55ALI3S18QD,jeffersonville|indiana|louisville|ohio|kentucky|davis|southeast|plans|community|2026|22nd|facebook|located|business|city
78F6UEB511_0YCEZPFXP6E1WV9,moscow|kgb|espionage|gershkovich|detained|putin|russian|russians|reporter|arrested|vladimir|journalist|russia|jailed|detention
7COWJIMSJN_Z5BMR338D7M5EUI,missiles|munitions|bombed|missile|terrorists|targets|bombs|yemen|yemenis|allies|houthis|houthi|israel|attacked|hamas
7DVIBRQLT8_W10TLNIIA8VK1R8,caracas|venezuelan|chávez|venezuela|rallies|machado|candidates|hugo|maduro|election|elections|presidential|supporters|candidate|candidacy
7LN2TU0TL8_IL1ST60DZBUTT9G,misdemeanors|misdemeanor|expungement|expungements|mccloskey|mccloskeys|pardoned|assault|missouri|guilty|indictment|judge|trespassing|mark|fined
7QTUG6E0M1_MWNHZGI2FFPZFSR,conscription|armies|army|military|soldiers|troops|war|mobilization|britain|ukraine|general|wars|london|national|british
86K14VIAFY_D7UC8I2PSYBH7O6,qobadlu|hanged|mohammad|executed|dubai|ayatollah|islamic|ali|tehran|sentenced|abbas|verdict|arab|execution|defendants
89CCV1V4YJ_0QJRYCJBQWEKV1T,libya|libyan|tripoli|cairo|oilfield|oil|protest|protesters|militias|ubari|nato|desert|army|crude|khalifa
8NV8LWD9E0_1Y6H6U7YLA4O4SG,athens|protests|greece|protest|greeks|protesters|greek|students|supporters|universities|socrates|kyriakos|university|plato|government
8OZJ9YSOIY_OEGIIPAEZL3O6CA,hamas|palestinians|palestinian|israel|israeli|gaza|netanyahu|allies|brussels|belgium|eu|luxembourg|statehood|sanctions|belgian
8YJOUOSW5N_INU3BEUGZ501NFY,bratislava|slovakia|brno|prague|czech|protests|poland|corruption|hungary|viktor|prosecution|prosecutor|krakow|constitutional|mafia
920AO66LWU_KBDJEHJZD7ZMV9L,misconduct|prosecutes|educator|educators|misdemeanor|disciplinary|unconstitutional|pennsylvania|dismissal|teacher|enforcement|teachers|prosecution|classrooms|lawsuit
926UXODB05_AFJDAECHV095E8X,nato|finland|sweden|hungarian|stockholm|hungary|swedish|allies|eu|orbán|european|ukraine|alliance|brussels|viktor
9A8Q4DHEIC_YA8RJPVSGC83F26,bipartisan|senators|gop|compromise|senate|compromises|mcconnell|congress|negotiations|negotiators|republican|republicans|democrats|conservative|negotiated
9D20QZJ3Z6_W22D9CTSZAYXS7I,cody|thoroughbred|filly|jockey|horse|trainer|breeders|sprinter|bred|belmont|racing|breeder|won|champion|dorman
