UniqueID,Keyword
0VWKQK94DP_JWPDGLFTM6IF389,video|played|Trip from hell|flight|mid-air blow out|passengers|flight cancellations|US airlines|Boeing jets|Oregon|US aviation regulator|Boeing 737 Max 9s|Alaska Airlines|fuselage|United Airlines|Federal Aviation Administration|inspections|European Union Aviation Safety Agency|EASA|London Heathrow|emergency landing|air traffic control|Ben Minicucci|FAA|plug door|Turkish Airlines|Flydubai|Civil Aviation Authority|CAA|National Transportation Safety Board|NTSB|Jennifer Homendy|Cedar Hills|Portland|Boeing's 737 Max|John Strickland|BBC News|rudder control systems
2517PE50N4_33GS6RC3CO76I9Z,Turkey|seized 34 people|spying|planning abductions|Israel's Mossad intelligence agency|57 addresses raided|Istanbul|12 more suspects|Operation Mole|Israeli intelligence|tactical tasks|Recep Tayyip Erdogan|Hamas|UK| US and EU|terrorist organisation|Benjamin Netanyahu|Defence Minister Yoav Gallant|Shin Bet domestic security|Ronen Bar|Saleh al-Arouri|Lebanon|Hezbollah|Turkish raids|MIT intelligence agency|Mossad agents|Palestinian citizens|anti-Israel rally|Istanbul|support for Hamas|Gaza
2YIZYKDJY0_0OVD5O33D1SWKPT,Walt Disney|Irish roots|Paula Sigman-Lowery|Disney 100 historian|County Kilkenny|County Cork|Disney Castle|Armagh Cathedral|Northern Ireland|Disney family history|Disney100: The Exhibition|ancestors|Ireland|Darby O'Gill and the Little People|Claddagh rings
649G1168UF_4RPGH91D1JFXBEL,US Secretary of State Antony Blinken|Palestinians|Gaza|Israeli ministers|resettlement of Palestinians|Qatar|Middle East tour|Jabalia refugee camp|Israel Defense Forces (IDF)|Hamas|Khan Younis|civilians|hostage|Hamas-run health ministry|Israeli bombardment|Finance Minister Bezalel Smotrich|National Security Minister Itamar Ben-Gvir|Israeli government|Al-Aqsa Hospital|United Nation's Office for the Coordination of Humanitarian Affairs (OCHA)|World Health Organization|Tedros Adhanom Ghebreyesus|Saleh al-Arouri|Hassan Nasrallah|Hezbollah|Qatar's PM Sheikh Mohammed bin Abdulrahman al -Thani|journalist Hamza al-Dahdouh|Al Jazeera
6WFNRSJM30_IIYKIX0OFWCQHWP,US Food and Drug Administration|Florida|import prescription drugs|Canada|drug prices|policy shift|US pharmaceutical industry|lobbying group|HIV/AIDS|diabetes|hepatitis C|mental illness|prescription drugs|OECD|Commissioner Robert Califf|FDA specifications and standards|health care administration|President Joe Biden|executive order|Pharmaceutical Research and Manufacturers of America|Stephen J Ubl|Canada's healthcare system|drug shortages|export of prescription medicines|US government targets lowering cost of 10 key drugs
91AQXG1TOU_UCCA5EO48JBYGXY,Somalia|Ethiopia|mediation|controversial deal|Somaliland|1 January agreement|Horn of Africa|coastline|landlocked neighbour|act of aggression|African Union|US|territorial integrity|Memorandum of Understanding (MoU)|commercial traffic|port|military aspect|navy|Ethiopia Airlines|independent state|recognition|aggression|peace and stability|ambassador|defence|enemy|rivalry|war|protests|opposition|independence|political system|elections|currency|chaos and violence|Horn of Africa region|Prime Minister Abiy Ahmed|sea access|landlocked country|force|historic deal|peaceful intentions|African Union commission|US state department|Matthew Miller|Arab League|European Union|Turkey|Egypt|President Abdul Fattah al-Sisi|Eritrea|President Isaias Afwerki|Kenya|Uganda|BBC Monitoring|Red Sea port|tensions|Somaliland profile
CKHQ9OMGHS_PG29A98LEHKT8G2,Russia|ballistic missiles|launchers|North Korea|war|Ukraine|US|National Security Council|John Kirby|escalation|Pyongyang|UN Security Council|sanctions|arms transfers|Moscow|Kim Jong Un|missile launch vehicle production|military co-operation|weapons|US intelligence|Western countries|military technologies|International Institute for Strategic Studies|Soviet RD-250 rocket engine|illicit channels|Hwasong-12|Hwasong-14|UN Security Council resolutions|Iran|UK|sanctions regime|Foreign| Commonwealth and Development Office|US Congress|funding|air defence capabilities|military equipment|DPRK|US military aid package|Republicans|US-Mexico border|military aid deal|public finances|Western aid
FH6XMIH7E7_IPDSMSD0IJ02BVZ,Gambian former interior minister|trial in Switzerland|crimes against humanity|Ousman Sonko|Gambian President Yahya Jammeh|repressive regime|killings| rape and torture|universal jurisdiction|Human rights groups|Swiss law|Swiss investigators|extrajudicial killings|security services|the Junglers|Trial International
H49NGCBUWC_CUNR6TVHQ0QJRF2,video|not be played|New York jury|Jonathan Majors|guilty|assaulting|former girlfriend|British choreographer|Grace Jabbari|first interview|conviction|Marvel actor|shocked|verdict|appeal the decision
H9BF6271FV_IXOXKJMH4CZ1FBF,video|played|Trip from hell|flight|mid-air blow out|Alaska Airlines|Boeing 737 Max 9|emergency landing|Oregon|UK Civil Aviation Authority|Evan Smith|Diego Murillo|Elizabeth Lee|Jessica Montoia|Ben Minicucci|Ontario| California|US Federal Aviation Administration|Flydubai|National Transportation Safety Board|John Strickland|safety record|rudder control systems
